year,file_name,time_step,growth,before_area,after_area
2020,fire_24462263.hdf5,8,8704,242,8946
2020,fire_24332939.hdf5,23,8599,562,9161
2020,fire_24332700.hdf5,9,4151,564,4715
2020,fire_24332628.hdf5,28,3876,1838,5714
2020,fire_24332647.hdf5,28,3526,1249,4775
2020,fire_24332628.hdf5,8,3103,199,3302
2020,fire_24462610.hdf5,9,2589,1183,3772
2020,fire_24461328.hdf5,8,2496,1156,3652
2020,fire_24461347.hdf5,4,2440,1311,3751
2020,fire_24604783.hdf5,4,2393,491,2884
2020,fire_24461623.hdf5,7,1958,442,2400
2018,fire_22343688.hdf5,5,1824,8,1832
2020,fire_24332628.hdf5,48,1796,1191,2987
2018,fire_22343689.hdf5,5,1761,12,1773
2020,fire_24332732.hdf5,10,1717,1344,3061
2020,fire_24461607.hdf5,5,1710,70,1780
2020,fire_24462335.hdf5,11,1668,129,1797
2020,fire_24332746.hdf5,6,1638,277,1915
2020,fire_24461996.hdf5,9,1462,189,1651
2020,fire_24332872.hdf5,14,1447,130,1577
2020,fire_24461421.hdf5,4,1388,465,1853
2020,fire_24332764.hdf5,26,1321,255,1576
2021,fire_25295099.hdf5,12,1303,993,2296
2020,fire_24332923.hdf5,24,1236,492,1728
2021,fire_25294706.hdf5,23,1226,717,1943
2021,fire_25410700.hdf5,6,1211,138,1349
2019,fire_23410594.hdf5,8,1168,207,1375
2020,fire_24332761.hdf5,3,1156,150,1306
2020,fire_24332647.hdf5,27,1153,96,1249
2020,fire_24332760.hdf5,5,1122,146,1268
2018,fire_22343661.hdf5,4,1107,25,1132
2020,fire_24604754.hdf5,9,1075,12,1087
2021,fire_25295818.hdf5,13,1075,671,1746
2021,fire_25295808.hdf5,8,1073,687,1760
2020,fire_24604754.hdf5,12,1067,265,1332
2020,fire_24332764.hdf5,6,1054,142,1196
2021,fire_25294714.hdf5,37,1027,516,1543
2020,fire_24332628.hdf5,14,1017,766,1783
2018,fire_21889754.hdf5,11,973,562,1535
2018,fire_21889763.hdf5,9,961,564,1525
2020,fire_24333039.hdf5,21,960,172,1132
2020,fire_24462847.hdf5,26,924,190,1114
2018,fire_21890069.hdf5,6,866,320,1186
2021,fire_25295099.hdf5,6,860,781,1641
2021,fire_25295831.hdf5,37,856,354,1210
2018,fire_21890078.hdf5,3,845,617,1462
2021,fire_25411739.hdf5,12,808,328,1136
2021,fire_25294735.hdf5,9,803,389,1192
2021,fire_25411795.hdf5,7,800,341,1141
2020,fire_24332732.hdf5,9,796,548,1344
2018,fire_21890072.hdf5,7,749,697,1446
2020,fire_24332592.hdf5,11,739,233,972
2020,fire_24462882.hdf5,3,736,95,831
2020,fire_24333012.hdf5,9,729,102,831
2020,fire_24462819.hdf5,12,719,602,1321
2021,fire_25411897.hdf5,3,718,456,1174
2020,fire_24461618.hdf5,7,716,90,806
2020,fire_24462847.hdf5,6,714,105,819
2018,fire_21889734.hdf5,6,704,200,904
2021,fire_25411889.hdf5,5,699,478,1177
2020,fire_24461623.hdf5,20,693,14,707
2018,fire_21804884.hdf5,5,690,90,780
2021,fire_25294714.hdf5,10,667,388,1055
2020,fire_24332880.hdf5,10,665,282,947
2018,fire_22141596.hdf5,8,660,30,690
2018,fire_21997775.hdf5,32,659,161,820
2021,fire_25410659.hdf5,5,656,598,1254
2018,fire_21804883.hdf5,5,646,76,722
2021,fire_25294714.hdf5,24,645,396,1041
2020,fire_24332763.hdf5,27,641,404,1045
2019,fire_23300669.hdf5,6,626,63,689
2020,fire_24461320.hdf5,8,626,254,880
2021,fire_25547912.hdf5,6,621,353,974
2018,fire_21998264.hdf5,14,589,448,1037
2020,fire_24463172.hdf5,5,586,372,958
2021,fire_25294991.hdf5,13,582,404,986
2021,fire_25295023.hdf5,6,580,402,982
2021,fire_25294692.hdf5,7,573,376,949
2021,fire_25294989.hdf5,4,571,185,756
2021,fire_25294999.hdf5,11,569,404,973
2018,fire_21890115.hdf5,5,565,197,762
2021,fire_25294746.hdf5,8,529,46,575
2020,fire_24332702.hdf5,6,525,30,555
2018,fire_21889750.hdf5,5,521,6,527
2018,fire_21889763.hdf5,4,514,49,563
2018,fire_21889754.hdf5,6,513,53,566
2018,fire_21890072.hdf5,6,504,193,697
2018,fire_21890024.hdf5,8,501,104,605
2020,fire_24103571.hdf5,8,496,434,930
2018,fire_21890515.hdf5,16,495,24,519
2020,fire_24462788.hdf5,5,491,99,590
2021,fire_25294998.hdf5,4,489,85,574
2020,fire_24191347.hdf5,9,487,158,645
2018,fire_22141343.hdf5,5,480,4,484
2021,fire_25410858.hdf5,16,480,346,826
2020,fire_24461771.hdf5,8,473,290,763
2020,fire_24191418.hdf5,5,471,137,608
2018,fire_21889717.hdf5,6,463,16,479
2021,fire_25548446.hdf5,5,459,14,473
2020,fire_24332732.hdf5,8,454,94,548
2020,fire_24333000.hdf5,19,450,340,790
2018,fire_21998119.hdf5,5,448,273,721
2020,fire_24332608.hdf5,39,447,292,739
2018,fire_21998095.hdf5,7,445,269,714
2021,fire_25411889.hdf5,4,443,35,478
2021,fire_25295099.hdf5,5,438,343,781
2019,fire_22938749.hdf5,15,428,144,572
2018,fire_21890078.hdf5,2,424,193,617
2021,fire_25295902.hdf5,20,420,130,550
2018,fire_21998100.hdf5,4,416,263,679
2021,fire_25411897.hdf5,2,415,41,456
2021,fire_25639187.hdf5,6,414,4,418
2018,fire_21890013.hdf5,7,411,125,536
2021,fire_25410659.hdf5,4,403,195,598
